"","log.r","log.Cr"
"1",-12,-58.6612238253192
"2",-11.8787878787879,-58.6610599080889
"3",-11.7575757575758,-58.6607310347503
"4",-11.6363636363636,-58.6605202711519
"5",-11.5151515151515,-58.6598052425065
"6",-11.3939393939394,-58.6552018820927
"7",-11.2727272727273,-58.6539102632611
"8",-11.1515151515152,-58.6502937699659
"9",-11.030303030303,-58.6484578082272
"10",-10.9090909090909,-58.6453832663587
"11",-10.7878787878788,-58.6424181020908
"12",-10.6666666666667,-58.5228460469076
"13",-10.5454545454545,-54.6087337302972
"14",-10.4242424242424,-54.6083039150757
"15",-10.3030303030303,-54.6047846740017
"16",-10.1818181818182,-54.5946379360741
"17",-10.0606060606061,-54.5850934887462
"18",-9.93939393939394,-54.5694232731716
"19",-9.81818181818182,-52.4223861798536
"20",-9.6969696969697,-52.4046669885856
"21",-9.57575757575758,-52.3843338897974
"22",-9.45454545454546,-51.5155139914823
"23",-9.33333333333333,-51.441170535942
"24",-9.21212121212121,-51.2938335050038
"25",-9.09090909090909,-50.8557304807481
"26",-8.96969696969697,-50.046298530442
"27",-8.84848484848485,-49.8988731504109
"28",-8.72727272727273,-49.3423415403011
"29",-8.60606060606061,-48.9000140868495
"30",-8.48484848484848,-48.2636454631056
"31",-8.36363636363636,-47.6431175643408
"32",-8.24242424242424,-46.9203156047759
"33",-8.12121212121212,-46.1531159284487
"34",-8,-45.3583909480018
"35",-7.87878787878788,-44.5136831864888
"36",-7.75757575757576,-43.7024034059179
"37",-7.63636363636364,-42.8074726578464
"38",-7.51515151515151,-41.9439312768526
"39",-7.39393939393939,-41.087587060703
"40",-7.27272727272727,-40.2304701909988
"41",-7.15151515151515,-39.3363701306557
"42",-7.03030303030303,-38.4458453358187
"43",-6.90909090909091,-37.5463179882093
"44",-6.78787878787879,-36.6441719309657
"45",-6.66666666666667,-35.7608607515716
"46",-6.54545454545454,-34.841474722092
"47",-6.42424242424242,-33.9405585502028
"48",-6.3030303030303,-33.0195598363853
"49",-6.18181818181818,-32.1189613866211
"50",-6.06060606060606,-31.2131520066928
"51",-5.93939393939394,-30.3057680567627
"52",-5.81818181818182,-29.4189321938274
"53",-5.6969696969697,-28.5330514911664
"54",-5.57575757575758,-27.6506756207902
"55",-5.45454545454545,-26.7575383060379
"56",-5.33333333333333,-25.8437859677096
"57",-5.21212121212121,-24.9283477440346
"58",-5.09090909090909,-24.0143725592038
"59",-4.96969696969697,-23.1162019075526
"60",-4.84848484848485,-22.2244140715669
"61",-4.72727272727273,-21.3271348000766
"62",-4.60606060606061,-20.441074533029
"63",-4.48484848484848,-19.5894016949289
"64",-4.36363636363636,-18.7791281055059
"65",-4.24242424242424,-17.9933371283571
"66",-4.12121212121212,-17.2219591529209
"67",-4,-16.4726251354484
"68",-3.87878787878788,-15.723338406264
"69",-3.75757575757576,-14.9605598141769
"70",-3.63636363636364,-14.1688788877305
"71",-3.51515151515152,-13.3873440482589
"72",-3.39393939393939,-12.5955943718488
"73",-3.27272727272727,-11.7748155987822
"74",-3.15151515151515,-10.914594659916
"75",-3.03030303030303,-10.0360680057615
"76",-2.90909090909091,-9.17163710560442
"77",-2.78787878787879,-8.33464285465518
"78",-2.66666666666667,-7.53084382334729
"79",-2.54545454545454,-6.73520878063542
"80",-2.42424242424242,-5.93695422448183
"81",-2.3030303030303,-5.21199491082233
"82",-2.18181818181818,-4.5308044676671
"83",-2.06060606060606,-3.93056551956887
"84",-1.93939393939394,-3.31992760163331
"85",-1.81818181818182,-2.75525806299386
"86",-1.6969696969697,-2.33124916491105
"87",-1.57575757575758,-1.94831434300814
"88",-1.45454545454546,-1.60832466016121
"89",-1.33333333333333,-1.31568089819172
"90",-1.21212121212121,-1.05280062478529
"91",-1.09090909090909,-0.814792121004266
"92",-0.969696969696969,-0.615770584448833
"93",-0.848484848484848,-0.433224611996076
"94",-0.727272727272727,-0.271115901372414
"95",-0.606060606060606,-0.144090026195578
"96",-0.484848484848484,-0.0507009744396877
"97",-0.363636363636363,-0.00714908601294743
"98",-0.242424242424242,-0.000817723982699698
"99",-0.121212121212121,-0.000205105099704013
"100",0,-8.53642921684455e-05
