"","log.r","log.Cr"
"1",-12,-124.111356768032
"2",-11.8787878787879,-124.111356764566
"3",-11.7575757575758,-124.111356724351
"4",-11.6363636363636,-124.111356713355
"5",-11.5151515151515,-124.111356361866
"6",-11.3939393939394,-124.11132912666
"7",-11.2727272727273,-124.111328492987
"8",-11.1515151515152,-124.111312511969
"9",-11.030303030303,-124.111311724685
"10",-10.9090909090909,-124.111308356155
"11",-10.7878787878788,-124.111306294511
"12",-10.6666666666667,-124.087682083996
"13",-10.5454545454545,-114.504845235588
"14",-10.4242424242424,-114.504845230553
"15",-10.3030303030303,-114.50484142571
"16",-10.1818181818182,-114.504761829259
"17",-10.0606060606061,-114.504634079544
"18",-9.93939393939394,-114.504544334175
"19",-9.81818181818182,-110.771750721605
"20",-9.6969696969697,-110.768905588805
"21",-9.57575757575758,-110.763374573752
"22",-9.45454545454546,-109.539589408149
"23",-9.33333333333333,-109.496220382048
"24",-9.21212121212121,-109.378331558471
"25",-9.09090909090909,-108.459330772445
"26",-8.96969696969697,-106.476514425199
"27",-8.84848484848485,-106.367384394568
"28",-8.72727272727273,-105.420706190918
"29",-8.60606060606061,-104.718300179835
"30",-8.48484848484848,-103.568890171678
"31",-8.36363636363636,-102.5082817867
"32",-8.24242424242424,-100.785121716347
"33",-8.12121212121212,-99.1216905131918
"34",-8,-97.6092273074057
"35",-7.87878787878788,-95.7996936946653
"36",-7.75757575757576,-94.4211541323431
"37",-7.63636363636364,-92.7481994143339
"38",-7.51515151515151,-90.9425692169798
"39",-7.39393939393939,-89.1066200462812
"40",-7.27272727272727,-87.3217539506056
"41",-7.15151515151515,-85.3208211285067
"42",-7.03030303030303,-83.3517791449108
"43",-6.90909090909091,-81.2878121109823
"44",-6.78787878787879,-79.2836014398614
"45",-6.66666666666667,-77.3583412945463
"46",-6.54545454545454,-75.3323858072499
"47",-6.42424242424242,-73.3408000731625
"48",-6.3030303030303,-71.2740388603685
"49",-6.18181818181818,-69.266319540755
"50",-6.06060606060606,-67.2275510506491
"51",-5.93939393939394,-65.1680850780535
"52",-5.81818181818182,-63.2369586024716
"53",-5.6969696969697,-61.3750282645002
"54",-5.57575757575758,-59.5399446988594
"55",-5.45454545454545,-57.6066611717521
"56",-5.33333333333333,-55.5147699739285
"57",-5.21212121212121,-53.394937369183
"58",-5.09090909090909,-51.300431928181
"59",-4.96969696969697,-49.2960737668852
"60",-4.84848484848485,-47.3357524538874
"61",-4.72727272727273,-45.3504740672961
"62",-4.60606060606061,-43.3571410696979
"63",-4.48484848484848,-41.4486841296313
"64",-4.36363636363636,-39.6591202198946
"65",-4.24242424242424,-37.9512384493215
"66",-4.12121212121212,-36.3279751962064
"67",-4,-34.8236591594085
"68",-3.87878787878788,-33.3294339556184
"69",-3.75757575757576,-31.7104459138088
"70",-3.63636363636364,-29.9659534937791
"71",-3.51515151515152,-28.3062454936062
"72",-3.39393939393939,-26.7014646166449
"73",-3.27272727272727,-25.0137800459998
"74",-3.15151515151515,-23.1835843652505
"75",-3.03030303030303,-21.2439833736338
"76",-2.90909090909091,-19.3368186175521
"77",-2.78787878787879,-17.5373771102056
"78",-2.66666666666667,-15.8558558622409
"79",-2.54545454545454,-14.0879069344992
"80",-2.42424242424242,-12.2921389388444
"81",-2.3030303030303,-10.7591357116183
"82",-2.18181818181818,-9.28195658468264
"83",-2.06060606060606,-7.9828644553303
"84",-1.93939393939394,-6.64988531598186
"85",-1.81818181818182,-5.41429235891756
"86",-1.6969696969697,-4.52547873913738
"87",-1.57575757575758,-3.81307388678729
"88",-1.45454545454546,-3.12185091426659
"89",-1.33333333333333,-2.5438372688987
"90",-1.21212121212121,-2.02880061896082
"91",-1.09090909090909,-1.53091902479737
"92",-0.969696969696969,-1.13362597066814
"93",-0.848484848484848,-0.783229478539895
"94",-0.727272727272727,-0.478932135405578
"95",-0.606060606060606,-0.251534993309956
"96",-0.484848484848484,-0.0926464780656301
"97",-0.363636363636363,-0.0139984295503197
"98",-0.242424242424242,-0.0014891659042477
"99",-0.121212121212121,-0.000326090727517084
"100",0,-8.53642921684455e-05
