"","log.r","log.Cr"
"1",-12,-97.9614624044387
"2",-11.8787878787879,-97.9614621627165
"3",-11.7575757575758,-97.9614607159001
"4",-11.6363636363636,-97.9614601895584
"5",-11.5151515151515,-97.9614530214959
"6",-11.3939393939394,-97.9612313350331
"7",-11.2727272727273,-97.961218352088
"8",-11.1515151515152,-97.9610828960489
"9",-11.030303030303,-97.9610658101365
"10",-10.9090909090909,-97.9610181288506
"11",-10.7878787878788,-97.9609843241704
"12",-10.6666666666667,-97.9129389405512
"13",-10.5454545454545,-90.662378462757
"14",-10.4242424242424,-90.6623780074239
"15",-10.3030303030303,-90.6623198718587
"16",-10.1818181818182,-90.6617502190955
"17",-10.0606060606061,-90.6610669228464
"18",-9.93939393939394,-90.6602864169068
"19",-9.81818181818182,-87.4668926951818
"20",-9.6969696969697,-87.4613119811681
"21",-9.57575757575758,-87.4541656683191
"22",-9.45454545454546,-86.3615530848482
"23",-9.33333333333333,-86.3100462379413
"24",-9.21212121212121,-86.1857556237265
"25",-9.09090909090909,-85.4778267301231
"26",-8.96969696969697,-84.0015451704281
"27",-8.84848484848485,-83.8928066564684
"28",-8.72727272727273,-83.1048194761382
"29",-8.60606060606061,-82.509301953566
"30",-8.48484848484848,-81.5826821893454
"31",-8.36363636363636,-80.714976720952
"32",-8.24242424242424,-79.4714246671949
"33",-8.12121212121212,-78.1761009509265
"34",-8,-76.9404897144094
"35",-7.87878787878788,-75.5167762486426
"36",-7.75757575757576,-74.3186386282984
"37",-7.63636363636364,-72.9143084738043
"38",-7.51515151515151,-71.4706984410568
"39",-7.39393939393939,-70.0257402147364
"40",-7.27272727272727,-68.6032473843722
"41",-7.15151515151515,-67.056650426937
"42",-7.03030303030303,-65.5249273142897
"43",-6.90909090909091,-63.9326350445354
"44",-6.78787878787879,-62.3619179701021
"45",-6.66666666666667,-60.8425637115273
"46",-6.54545454545454,-59.2509008928366
"47",-6.42424242424242,-57.6910739002478
"48",-6.3030303030303,-56.0829865501188
"49",-6.18181818181818,-54.5193876609025
"50",-6.06060606060606,-52.9405032912446
"51",-5.93939393939394,-51.3522803770148
"52",-5.81818181818182,-49.8387572662593
"53",-5.6969696969697,-48.3535953003115
"54",-5.57575757575758,-46.878199741921
"55",-5.45454545454545,-45.3468804587347
"56",-5.33333333333333,-43.72654385766
"57",-5.21212121212121,-42.0905702626563
"58",-5.09090909090909,-40.4681651991579
"59",-4.96969696969697,-38.8991876940117
"60",-4.84848484848485,-37.3548391213093
"61",-4.72727272727273,-35.7954012459411
"62",-4.60606060606061,-34.2435647893188
"63",-4.48484848484848,-32.7604149698125
"64",-4.36363636363636,-31.3675117146278
"65",-4.24242424242424,-30.0342362944962
"66",-4.12121212121212,-28.7538433765605
"67",-4,-27.5446302924154
"68",-3.87878787878788,-26.3355604926946
"69",-3.75757575757576,-25.0579785088301
"70",-3.63636363636364,-23.7040132179359
"71",-3.51515151515152,-22.395340999791
"72",-3.39393939393939,-21.1022277064314
"73",-3.27272727272727,-19.7513091759146
"74",-3.15151515151515,-18.3039541968685
"75",-3.03030303030303,-16.7909877849721
"76",-2.90909090909091,-15.3024753860779
"77",-2.78787878787879,-13.8863344825415
"78",-2.66666666666667,-12.5506197462981
"79",-2.54545454545454,-11.1784757958224
"80",-2.42424242424242,-9.79076216369147
"81",-2.3030303030303,-8.57350657964186
"82",-2.18181818181818,-7.41027566967673
"83",-2.06060606060606,-6.38729994636469
"84",-1.93939393939394,-5.34389191566244
"85",-1.81818181818182,-4.38110517110448
"86",-1.6969696969697,-3.68026084718325
"87",-1.57575757575758,-3.09073405812012
"88",-1.45454545454546,-2.54090371322699
"89",-1.33333333333333,-2.07493919840455
"90",-1.21212121212121,-1.6568115348492
"91",-1.09090909090909,-1.26377469933255
"92",-0.969696969696969,-0.943955521131522
"93",-0.848484848484848,-0.656047620260167
"94",-0.727272727272727,-0.403973416116421
"95",-0.606060606060606,-0.213310577475357
"96",-0.484848484848484,-0.0774835638631112
"97",-0.363636363636363,-0.0114060730943131
"98",-0.242424242424242,-0.00122991679450221
"99",-0.121212121212121,-0.000280330063805873
"100",0,-8.53642921684455e-05
