"","log.r","log.Cr"
"1",-12,-117.57486159203
"2",-11.8787878787879,-117.57486158206
"3",-11.7575757575758,-117.57486148374
"4",-11.6363636363636,-117.574861455112
"5",-11.5151515151515,-117.574860708691
"6",-11.3939393939394,-117.574814603244
"7",-11.2727272727273,-117.574813256525
"8",-11.1515151515152,-117.57478601856
"9",-11.030303030303,-117.574784323393
"10",-10.9090909090909,-117.574777829286
"11",-10.7878787878788,-117.57477371468
"12",-10.6666666666667,-117.54644415024
"13",-10.5454545454545,-108.551880752796
"14",-10.4242424242424,-108.551880737358
"15",-10.3030303030303,-108.551873166053
"16",-10.1818181818182,-108.551742578026
"17",-10.0606060606061,-108.551548021646
"18",-9.93939393939394,-108.551392604527
"19",-9.81818181818182,-104.947754818151
"20",-9.6969696969697,-104.944398206366
"21",-9.57575757575758,-104.93852381608
"22",-9.45454545454546,-103.747322346173
"23",-9.33333333333333,-103.702102374642
"24",-9.21212121212121,-103.582574640994
"25",-9.09090909090909,-102.718671366835
"26",-8.96969696969697,-100.865955916747
"27",-8.84848484848485,-100.756645775412
"28",-8.72727272727273,-99.8492464606541
"29",-8.60606060606061,-99.1726551211205
"30",-8.48484848484848,-98.0809213345423
"31",-8.36363636363636,-97.0701132019922
"32",-8.24242424242424,-95.4780481967358
"33",-8.12121212121212,-93.9046197621707
"34",-8,-92.4612403678373
"35",-7.87878787878788,-90.7474464391547
"36",-7.75757575757576,-89.4107988258718
"37",-7.63636363636364,-87.801523100372
"38",-7.51515151515151,-86.0844725426137
"39",-7.39393939393939,-84.3463178764382
"40",-7.27272727272727,-82.6514471104635
"41",-7.15151515151515,-80.7656719388545
"42",-7.03030303030303,-78.9068280820696
"43",-6.90909090909091,-76.9611179828744
"44",-6.78787878787879,-75.0642029174643
"45",-6.66666666666667,-73.2390938516733
"46",-6.54545454545454,-71.3205964020456
"47",-6.42424242424242,-69.4364825834455
"48",-6.3030303030303,-67.4844252266176
"49",-6.18181818181818,-65.5878438713898
"50",-6.06060606060606,-63.6649102312949
"51",-5.93939393939394,-61.7245814203311
"52",-5.81818181818182,-59.8981775978911
"53",-5.6969696969697,-58.1292453367132
"54",-5.57575757575758,-56.3817505940108
"55",-5.45454545454545,-54.5472250538538
"56",-5.33333333333333,-52.5732582098781
"57",-5.21212121212121,-50.5746511901388
"58",-5.09090909090909,-48.5982940362548
"59",-4.96969696969697,-46.7021079066484
"60",-4.84848484848485,-44.8445276898929
"61",-4.72727272727273,-42.9646441257073
"62",-4.60606060606061,-41.0815414758879
"63",-4.48484848484848,-39.2796527547815
"64",-4.36363636363636,-37.5897086179111
"65",-4.24242424242424,-35.9760493729486
"66",-4.12121212121212,-34.4389500154675
"67",-4,-33.0080565479699
"68",-3.87878787878788,-31.583857773136
"69",-3.75757575757576,-30.0501281047263
"70",-3.63636363636364,-28.4045951988048
"71",-3.51515151515152,-26.8329401792744
"72",-3.39393939393939,-25.3047498700044
"73",-3.27272727272727,-23.7003779828118
"74",-3.15151515151515,-21.9655945643889
"75",-3.03030303030303,-20.1330965925539
"76",-2.90909090909091,-18.3309036545068
"77",-2.78787878787879,-16.6270584039705
"78",-2.66666666666667,-15.0313643144759
"79",-2.54545454545454,-13.363305758013
"80",-2.42424242424242,-11.6708742741257
"81",-2.3030303030303,-10.2159066440825
"82",-2.18181818181818,-8.81657361813831
"83",-2.06060606060606,-7.58609450832001
"84",-1.93939393939394,-6.32554234239952
"85",-1.81818181818182,-5.15863908979782
"86",-1.6969696969697,-4.31714388251042
"87",-1.57575757575758,-3.63452848255478
"88",-1.45454545454546,-2.97897493149484
"89",-1.33333333333333,-2.42889244272262
"90",-1.21212121212121,-1.93767602311218
"91",-1.09090909090909,-1.46621340328688
"92",-0.969696969696969,-1.08816705262478
"93",-0.848484848484848,-0.752861266111611
"94",-0.727272727272727,-0.461057814874925
"95",-0.606060606060606,-0.242448198101408
"96",-0.484848484848484,-0.0890158778217311
"97",-0.363636363636363,-0.013364976280805
"98",-0.242424242424242,-0.0014250311178459
"99",-0.121212121212121,-0.000314912659909613
"100",0,-8.53642921684455e-05
