"","log.r","log.Cr"
"1",-12,-17.6316337835684
"2",-11.8787878787879,-17.5778849071456
"3",-11.7575757575758,-17.5314184548092
"4",-11.6363636363636,-17.4901507062928
"5",-11.5151515151515,-17.428089862013
"6",-11.3939393939394,-17.3744085879019
"7",-11.2727272727273,-17.3015281060597
"8",-11.1515151515152,-17.2257354529372
"9",-11.030303030303,-17.1487423287086
"10",-10.9090909090909,-17.0678201512343
"11",-10.7878787878788,-16.9647134841705
"12",-10.6666666666667,-16.8375301643394
"13",-10.5454545454545,-16.4623482660645
"14",-10.4242424242424,-16.3150572177139
"15",-10.3030303030303,-16.131451249434
"16",-10.1818181818182,-16.0033057300492
"17",-10.0606060606061,-15.8737115527598
"18",-9.93939393939394,-15.7234968810043
"19",-9.81818181818182,-15.4162810319459
"20",-9.6969696969697,-15.2644907410379
"21",-9.57575757575758,-15.0747469617334
"22",-9.45454545454546,-14.8245961265718
"23",-9.33333333333333,-14.6425220322224
"24",-9.21212121212121,-14.432078658396
"25",-9.09090909090909,-14.2311695404599
"26",-8.96969696969697,-13.999226598954
"27",-8.84848484848485,-13.7762675574028
"28",-8.72727272727273,-13.5589515432304
"29",-8.60606060606061,-13.3414275509882
"30",-8.48484848484848,-13.1209879561151
"31",-8.36363636363636,-12.8898421866062
"32",-8.24242424242424,-12.6649681539386
"33",-8.12121212121212,-12.4357146772933
"34",-8,-12.2028230020966
"35",-7.87878787878788,-11.9677009731814
"36",-7.75757575757576,-11.7362922005623
"37",-7.63636363636364,-11.4946741269033
"38",-7.51515151515151,-11.2640190333624
"39",-7.39393939393939,-11.0291467420256
"40",-7.27272727272727,-10.7956347971075
"41",-7.15151515151515,-10.5604007939233
"42",-7.03030303030303,-10.32349696419
"43",-6.90909090909091,-10.0893884050323
"44",-6.78787878787879,-9.8567473828383
"45",-6.66666666666667,-9.62812392855572
"46",-6.54545454545454,-9.39358183802855
"47",-6.42424242424242,-9.16271342054208
"48",-6.3030303030303,-8.92902145270071
"49",-6.18181818181818,-8.69817696649674
"50",-6.06060606060606,-8.46498259755736
"51",-5.93939393939394,-8.23119252660828
"52",-5.81818181818182,-7.99926559812345
"53",-5.6969696969697,-7.76764393184508
"54",-5.57575757575758,-7.53738023681174
"55",-5.45454545454545,-7.30889176119259
"56",-5.33333333333333,-7.08051369054067
"57",-5.21212121212121,-6.8534754084348
"58",-5.09090909090909,-6.62657181596358
"59",-4.96969696969697,-6.40304256808369
"60",-4.84848484848485,-6.18128446900186
"61",-4.72727272727273,-5.95874081215709
"62",-4.60606060606061,-5.7376144918401
"63",-4.48484848484848,-5.51791229302417
"64",-4.36363636363636,-5.30167049232122
"65",-4.24242424242424,-5.08612564313973
"66",-4.12121212121212,-4.87002588563511
"67",-4,-4.65583745257763
"68",-3.87878787878788,-4.44077565465641
"69",-3.75757575757576,-4.22662119079169
"70",-3.63636363636364,-4.01283114446996
"71",-3.51515151515152,-3.80472164565543
"72",-3.39393939393939,-3.59386834978884
"73",-3.27272727272727,-3.37290508372216
"74",-3.15151515151515,-3.14352853972766
"75",-3.03030303030303,-2.91318985118171
"76",-2.90909090909091,-2.68497257237004
"77",-2.78787878787879,-2.45183998599057
"78",-2.66666666666667,-2.22452579689314
"79",-2.54545454545454,-2.0116957396116
"80",-2.42424242424242,-1.80029251941172
"81",-2.3030303030303,-1.60006322323588
"82",-2.18181818181818,-1.41194707423324
"83",-2.06060606060606,-1.24203504381962
"84",-1.93939393939394,-1.0651636711668
"85",-1.81818181818182,-0.897063252269087
"86",-1.6969696969697,-0.764738376564578
"87",-1.57575757575758,-0.63867676219596
"88",-1.45454545454546,-0.529896232142876
"89",-1.33333333333333,-0.435316280305775
"90",-1.21212121212121,-0.350101612312986
"91",-1.09090909090909,-0.275222153521246
"92",-0.969696969696969,-0.210585184244298
"93",-0.848484848484848,-0.150195655135048
"94",-0.727272727272727,-0.0938564172578032
"95",-0.606060606060606,-0.047726527358099
"96",-0.484848484848484,-0.0155505638451575
"97",-0.363636363636363,-0.00214753206053705
"98",-0.242424242424242,-0.000314508350397053
"99",-0.121212121212121,-0.000118076435689392
"100",0,-8.53642921684455e-05
