"","log.r","log.Cr"
"1",-12,-91.4212967104428
"2",-11.8787878787879,-91.4212960049863
"3",-11.7575757575758,-91.4212924494594
"4",-11.6363636363636,-91.4212910408818
"5",-11.5151515151515,-91.4212757736623
"6",-11.3939393939394,-91.4209033417586
"7",-11.2727272727273,-91.4208756397409
"8",-11.1515151515152,-91.4206438814422
"9",-11.030303030303,-91.420606839068
"10",-10.9090909090909,-91.4205131769758
"11",-10.7878787878788,-91.4204440063291
"12",-10.6666666666667,-91.3635827559633
"13",-10.5454545454545,-84.6849586042738
"14",-10.4242424242424,-84.6849571878321
"15",-10.3030303030303,-84.684843380613
"16",-10.1818181818182,-84.683917641998
"17",-10.0606060606061,-84.6828787227824
"18",-9.93939393939394,-84.681562236395
"19",-9.81818181818182,-81.6360540651382
"20",-9.6969696969697,-81.6294081000178
"21",-9.57575757575758,-81.6216570726126
"22",-9.45454545454546,-80.5626595224751
"23",-9.33333333333333,-80.5087145363475
"24",-9.21212121212121,-80.3827509424395
"25",-9.09090909090909,-79.7238776344433
"26",-8.96969696969697,-78.3673828680606
"27",-8.84848484848485,-78.2584382862142
"28",-8.72727272727273,-77.5104449703089
"29",-8.60606060606061,-76.9426602431907
"30",-8.48484848484848,-76.0681199613442
"31",-8.36363636363636,-75.2453009860992
"32",-8.24242424242424,-74.1031809134415
"33",-8.12121212121212,-72.9006229551682
"34",-8,-71.7351017556249
"35",-7.87878787878788,-70.4084223336072
"36",-7.75757575757576,-69.2627345164968
"37",-7.63636363636364,-67.9328969284074
"38",-7.51515151515151,-66.5829490675906
"39",-7.39393939393939,-65.2357116301573
"40",-7.27272727272727,-63.905121625619
"41",-7.15151515151515,-62.469427957206
"42",-7.03030303030303,-61.0455980034562
"43",-6.90909090909091,-59.5704308889237
"44",-6.78787878787879,-58.1099184919797
"45",-6.66666666666667,-56.6943686571304
"46",-6.54545454545454,-55.2131441826638
"47",-6.42424242424242,-53.762124584193
"48",-6.3030303030303,-52.2686267156281
"49",-6.18181818181818,-50.8157878111348
"50",-6.06060606060606,-49.3503693507156
"51",-5.93939393939394,-47.8776605825663
"52",-5.81818181818182,-46.4681618787698
"53",-5.6969696969697,-45.079572653964
"54",-5.57575757575758,-43.6983262863825
"55",-5.45454545454545,-42.2704751287078
"56",-5.33333333333333,-40.768029810558
"57",-5.21212121212121,-39.252638802152
"58",-5.09090909090909,-37.7481906303105
"59",-4.96969696969697,-36.2893569270563
"60",-4.84848484848485,-34.851237392888
"61",-4.72727272727273,-33.4001161194224
"62",-4.60606060606061,-31.9589176503906
"63",-4.48484848484848,-30.5816320635259
"64",-4.36363636363636,-29.2869916159033
"65",-4.24242424242424,-28.0462406894003
"66",-4.12121212121212,-26.8508463393777
"67",-4,-25.7162697580624
"68",-3.87878787878788,-24.580807859741
"69",-3.75757575757576,-23.3887338491481
"70",-3.63636363636364,-22.1302088969076
"71",-3.51515151515152,-20.9089344766401
"72",-3.39393939393939,-19.696134863442
"73",-3.27272727272727,-18.4310504853982
"74",-3.15151515151515,-17.0801025408709
"75",-3.03030303030303,-15.6731346160413
"76",-2.90909090909091,-14.2888293919473
"77",-2.78787878787879,-12.9688658756188
"78",-2.66666666666667,-11.7206265624616
"79",-2.54545454545454,-10.4458551601058
"80",-2.42424242424242,-9.15802668101024
"81",-2.3030303030303,-8.02122958582966
"82",-2.18181818181818,-6.93751093521988
"83",-2.06060606060606,-5.98428834324316
"84",-1.93939393939394,-5.01319914071367
"85",-1.81818181818182,-4.11774575232909
"86",-1.6969696969697,-3.46337000523343
"87",-1.57575757575758,-2.90622285070875
"88",-1.45454545454546,-2.3913157467188
"89",-1.33333333333333,-1.95359551132551
"90",-1.21212121212121,-1.56042581415099
"91",-1.09090909090909,-1.19330805652688
"92",-0.969696969696969,-0.893126925851794
"93",-0.848484848484848,-0.621760412896475
"94",-0.727272727272727,-0.383698094666033
"95",-0.606060606060606,-0.202898609771255
"96",-0.484848484848484,-0.0734004704063564
"97",-0.363636363636363,-0.0107311923884751
"98",-0.242424242424242,-0.00116372046017173
"99",-0.121212121212121,-0.000268408340627522
"100",0,-8.53642921684455e-05
