"","log.r","log.Cr"
"1",-12,-9.4833824077726
"2",-11.8787878787879,-9.42643679158417
"3",-11.7575757575758,-9.37754326289969
"4",-11.6363636363636,-9.33372833565353
"5",-11.5151515151515,-9.27637757977389
"6",-11.3939393939394,-9.22849973306518
"7",-11.2727272727273,-9.16579949893945
"8",-11.1515151515152,-9.10693112085516
"9",-11.030303030303,-9.04045598228344
"10",-10.9090909090909,-8.97801015594542
"11",-10.7878787878788,-8.90077958859623
"12",-10.6666666666667,-8.82283676187762
"13",-10.5454545454545,-8.68095669803783
"14",-10.4242424242424,-8.562277545178
"15",-10.3030303030303,-8.43974559276105
"16",-10.1818181818182,-8.35106646777068
"17",-10.0606060606061,-8.2646209897266
"18",-9.93939393939394,-8.16292959943903
"19",-9.81818181818182,-8.02876564116473
"20",-9.6969696969697,-7.9290953283135
"21",-9.57575757575758,-7.81833841558121
"22",-9.45454545454546,-7.69341184778727
"23",-9.33333333333333,-7.58191531689371
"24",-9.21212121212121,-7.46554739456328
"25",-9.09090909090909,-7.35111915396554
"26",-8.96969696969697,-7.22642225228046
"27",-8.84848484848485,-7.10377598920626
"28",-8.72727272727273,-6.99043337313893
"29",-8.60606060606061,-6.87293532347267
"30",-8.48484848484848,-6.75839487852452
"31",-8.36363636363636,-6.63540930832745
"32",-8.24242424242424,-6.51683482031475
"33",-8.12121212121212,-6.39848672751343
"34",-8,-6.27917511237959
"35",-7.87878787878788,-6.15813700164902
"36",-7.75757575757576,-6.04008617572744
"37",-7.63636363636364,-5.91715648183113
"38",-7.51515151515151,-5.79947026844972
"39",-7.39393939393939,-5.6789522900142
"40",-7.27272727272727,-5.55930670640939
"41",-7.15151515151515,-5.4403143420519
"42",-7.03030303030303,-5.31975308934998
"43",-6.90909090909091,-5.20012606855108
"44",-6.78787878787879,-5.08190334717191
"45",-6.66666666666667,-4.9654812831679
"46",-6.54545454545454,-4.84728041438799
"47",-6.42424242424242,-4.72982853581915
"48",-6.3030303030303,-4.61168053431236
"49",-6.18181818181818,-4.49495538979089
"50",-6.06060606060606,-4.37700412711348
"51",-5.93939393939394,-4.2585462764306
"52",-5.81818181818182,-4.14077056876117
"53",-5.6969696969697,-4.02350276411727
"54",-5.57575757575758,-3.90672197034424
"55",-5.45454545454545,-3.79079475052023
"56",-5.33333333333333,-3.6748564212477
"57",-5.21212121212121,-3.55929661725093
"58",-5.09090909090909,-3.44384561385424
"59",-4.96969696969697,-3.33049408252207
"60",-4.84848484848485,-3.21836156338977
"61",-4.72727272727273,-3.10597437759101
"62",-4.60606060606061,-2.9944711684887
"63",-4.48484848484848,-2.88332199232945
"64",-4.36363636363636,-2.77376214653022
"65",-4.24242424242424,-2.66410596545503
"66",-4.12121212121212,-2.55377307791675
"67",-4,-2.44401916654218
"68",-3.87878787878788,-2.33314410591031
"69",-3.75757575757576,-2.22292696391067
"70",-3.63636363636364,-2.1143862877687
"71",-3.51515151515152,-2.01005004532318
"72",-3.39393939393939,-1.90518110387798
"73",-3.27272727272727,-1.79452124306489
"74",-3.15151515151515,-1.67895165302762
"75",-3.03030303030303,-1.56280938176681
"76",-2.90909090909091,-1.44690487528307
"77",-2.78787878787879,-1.32608271723737
"78",-2.66666666666667,-1.20838514889609
"79",-2.54545454545454,-1.0992906089782
"80",-2.42424242424242,-0.990511379570816
"81",-2.3030303030303,-0.886256970547593
"82",-2.18181818181818,-0.786698388968338
"83",-2.06060606060606,-0.694958605865491
"84",-1.93939393939394,-0.599287601441843
"85",-1.81818181818182,-0.507681964186706
"86",-1.6969696969697,-0.434485271728038
"87",-1.57575757575758,-0.364249446619898
"88",-1.45454545454546,-0.303310889183738
"89",-1.33333333333333,-0.249979208048354
"90",-1.21212121212121,-0.201509550038404
"91",-1.09090909090909,-0.158624792543511
"92",-0.969696969696969,-0.120863971084102
"93",-0.848484848484848,-0.0853276356038452
"94",-0.727272727272727,-0.0522145156194266
"95",-0.606060606060606,-0.0257575742473022
"96",-0.484848484848484,-0.00820617220700422
"97",-0.363636363636363,-0.00116706982715828
"98",-0.242424242424242,-0.000206667869357358
"99",-0.121212121212121,-0.000101994926401969
"100",0,-8.53642921684455e-05
