"","log.r","log.Cr"
"1",-12,-104.500173368816
"2",-11.8787878787879,-104.50017328561
"3",-11.7575757575758,-104.500172695966
"4",-11.6363636363636,-104.500172497925
"5",-11.5151515151515,-104.50016912804
"6",-11.3939393939394,-104.500037531503
"7",-11.2727272727273,-104.500031437423
"8",-11.1515151515152,-104.499952154688
"9",-11.030303030303,-104.499944258642
"10",-10.9090909090909,-104.499919842921
"11",-10.7878787878788,-104.499903194325
"12",-10.6666666666667,-104.459480121327
"13",-10.5454545454545,-96.6317547441186
"14",-10.4242424242424,-96.6317545972763
"15",-10.3030303030303,-96.6317250027689
"16",-10.1818181818182,-96.6313755067919
"17",-10.0606060606061,-96.6309257610275
"18",-9.93939393939394,-96.6304668990797
"19",-9.81818181818182,-93.2955677643114
"20",-9.6969696969697,-93.2908680650656
"21",-9.57575757575758,-93.2842073854581
"22",-9.45454545454546,-92.1584701691456
"23",-9.33333333333333,-92.1092052858374
"24",-9.21212121212121,-91.9865021591273
"25",-9.09090909090909,-91.2280747501775
"26",-8.96969696969697,-89.6289633772284
"27",-8.84848484848485,-89.5200226747294
"28",-8.72727272727273,-88.6920467039181
"29",-8.60606060606061,-88.0690107737312
"30",-8.48484848484848,-87.0887627198526
"31",-8.36363636363636,-86.1746259481129
"32",-8.24242424242424,-84.8223816222851
"33",-8.12121212121212,-83.4337698201382
"34",-8,-82.1286361916732
"35",-7.87878787878788,-80.6079280726767
"36",-7.75757575757576,-79.360900930954
"37",-7.63636363636364,-77.8854714912631
"38",-7.51515151515151,-76.3494444850469
"39",-7.39393939393939,-74.8067749332359
"40",-7.27272727272727,-73.2930033359131
"41",-7.15151515151515,-71.6344261110603
"42",-7.03030303030303,-69.9942460885688
"43",-6.90909090909091,-68.2844339481894
"44",-6.78787878787879,-66.6042408935085
"45",-6.66666666666667,-64.9820416297873
"46",-6.54545454545454,-63.2806833944218
"47",-6.42424242424242,-61.6124214843831
"48",-6.3030303030303,-59.889707695633
"49",-6.18181818181818,-58.2152167488814
"50",-6.06060606060606,-56.5222511675308
"51",-5.93939393939394,-54.8175781945194
"52",-5.81818181818182,-53.199937164075
"53",-5.6969696969697,-51.6192728424107
"54",-5.57575757575758,-50.0515134283154
"55",-5.45454545454545,-48.4179383180856
"56",-5.33333333333333,-46.679727158059
"57",-5.21212121212121,-44.9230330062253
"58",-5.09090909090909,-43.1826858914273
"59",-4.96969696969697,-41.5041389542492
"60",-4.84848484848485,-39.8545011980176
"61",-4.72727272727273,-38.1875152646511
"62",-4.60606060606061,-36.5251542777009
"63",-4.48484848484848,-34.9359358708723
"64",-4.36363636363636,-33.4443639164018
"65",-4.24242424242424,-32.0180610707349
"66",-4.12121212121212,-30.6523955220359
"67",-4,-29.3689802462508
"68",-3.87878787878788,-28.0872971988106
"69",-3.75757575757576,-26.7242707234385
"70",-3.63636363636364,-25.2740006845021
"71",-3.51515151515152,-23.8778329728817
"72",-3.39393939393939,-22.5054264384526
"73",-3.27272727272727,-21.0693919335693
"74",-3.15151515151515,-19.5259740708946
"75",-3.03030303030303,-17.9067735194424
"76",-2.90909090909091,-16.313891350293
"77",-2.78787878787879,-14.8017050920424
"78",-2.66666666666667,-13.3789208930326
"79",-2.54545454545454,-11.9087740923666
"80",-2.42424242424242,-10.4203528732351
"81",-2.3030303030303,-9.12325272140859
"82",-2.18181818181818,-7.88090423959909
"83",-2.06060606060606,-6.78847280719989
"84",-1.93939393939394,-5.67271002124618
"85",-1.81818181818182,-4.64222615311068
"86",-1.6969696969697,-3.89471206558575
"87",-1.57575757575758,-3.27350414856175
"88",-1.45454545454546,-2.68861735846374
"89",-1.33333333333333,-2.19453398844421
"90",-1.21212121212121,-1.75175735213034
"91",-1.09090909090909,-1.33270222954596
"92",-0.969696969696969,-0.993374169902733
"93",-0.848484848484848,-0.689303045509194
"94",-0.727272727272727,-0.423604887568299
"95",-0.606060606060606,-0.223356561387067
"96",-0.484848484848484,-0.0814415830280243
"97",-0.363636363636363,-0.012069479558704
"98",-0.242424242424242,-0.00129547482598125
"99",-0.121212121212121,-0.000292045214959426
"100",0,-8.53642921684455e-05
