"","log.r","log.Cr"
"1",-12,-52.0790758532455
"2",-11.8787878787879,-52.0785788088801
"3",-11.7575757575758,-52.0777579356112
"4",-11.6363636363636,-52.0771789734143
"5",-11.5151515151515,-52.0755808679583
"6",-11.3939393939394,-52.0681654114394
"7",-11.2727272727273,-52.0653236461507
"8",-11.1515151515152,-52.0588486262864
"9",-11.030303030303,-52.0548167245468
"10",-10.9090909090909,-52.0484959735918
"11",-10.7878787878788,-52.0419279348947
"12",-10.6666666666667,-51.9069728156586
"13",-10.5454545454545,-48.5364525805634
"14",-10.4242424242424,-48.5350922242305
"15",-10.3030303030303,-48.5275977260957
"16",-10.1818181818182,-48.5110388862587
"17",-10.0606060606061,-48.4950354464554
"18",-9.93939393939394,-48.469475610277
"19",-9.81818181818182,-46.553405220501
"20",-9.6969696969697,-46.530103541144
"21",-9.57575757575758,-46.4990911888331
"22",-9.45454545454546,-45.6807317022282
"23",-9.33333333333333,-45.5965397165037
"24",-9.21212121212121,-45.4349127520146
"25",-9.09090909090909,-45.033556807753
"26",-8.96969696969697,-44.322898968383
"27",-8.84848484848485,-44.1479750161823
"28",-8.72727272727273,-43.6273208764163
"29",-8.60606060606061,-43.2038795881519
"30",-8.48484848484848,-42.6149278693348
"31",-8.36363636363636,-42.0353318764868
"32",-8.24242424242424,-41.386759386398
"33",-8.12121212121212,-40.7011483745093
"34",-8,-39.9879838361883
"35",-7.87878787878788,-39.2398192555757
"36",-7.75757575757576,-38.5119229851514
"37",-7.63636363636364,-37.7172555744261
"38",-7.51515151515151,-36.9547412149559
"39",-7.39393939393939,-36.1978710192707
"40",-7.27272727272727,-35.4393401156828
"41",-7.15151515151515,-34.6524130560021
"42",-7.03030303030303,-33.8682441680058
"43",-6.90909090909091,-33.0810138742767
"44",-6.78787878787879,-32.290772507944
"45",-6.66666666666667,-31.5158501068501
"46",-6.54545454545454,-30.7101598362374
"47",-6.42424242424242,-29.9204223852221
"48",-6.3030303030303,-29.1139204128822
"49",-6.18181818181818,-28.3238942893911
"50",-6.06060606060606,-27.5292333884509
"51",-5.93939393939394,-26.7333672151645
"52",-5.81818181818182,-25.9527042849757
"53",-5.6969696969697,-25.171936551376
"54",-5.57575757575758,-24.3947862760387
"55",-5.45454545454545,-23.6114855890284
"56",-5.33333333333333,-22.8145635790298
"57",-5.21212121212121,-22.0176752913494
"58",-5.09090909090909,-21.2213733579374
"59",-4.96969696969697,-20.4370382788899
"60",-4.84848484848485,-19.6573195787796
"61",-4.72727272727273,-18.8730651827999
"62",-4.60606060606061,-18.0983682893848
"63",-4.48484848484848,-17.3511373238643
"64",-4.36363636363636,-16.6368068687114
"65",-4.24242424242424,-15.941402880878
"66",-4.12121212121212,-15.2562224601203
"67",-4,-14.5881345339863
"68",-3.87878787878788,-13.9207034519449
"69",-3.75757575757576,-13.2447691225498
"70",-3.63636363636364,-12.5456825144757
"71",-3.51515151515152,-11.8542301579443
"72",-3.39393939393939,-11.1519940246814
"73",-3.27272727272727,-10.4245160472306
"74",-3.15151515151515,-9.66513408237386
"75",-3.03030303030303,-8.89259654031359
"76",-2.90909090909091,-8.13234016725325
"77",-2.78787878787879,-7.39266366547652
"78",-2.66666666666667,-6.67984539925867
"79",-2.54545454545454,-5.97932252954551
"80",-2.42424242424242,-5.27784576189604
"81",-2.3030303030303,-4.63735428609596
"82",-2.18181818181818,-4.03743075831446
"83",-2.06060606060606,-3.50842269380259
"84",-1.93939393939394,-2.96945838571076
"85",-1.81818181818182,-2.46981539268761
"86",-1.6969696969697,-2.09195626687804
"87",-1.57575757575758,-1.74694808675509
"88",-1.45454545454546,-1.44273466290705
"89",-1.33333333333333,-1.18045196416508
"90",-1.21212121212121,-0.944990552848311
"91",-1.09090909090909,-0.733017726214803
"92",-0.969696969696969,-0.555087967031837
"93",-0.848484848484848,-0.391621903650358
"94",-0.727272727272727,-0.245869598513469
"95",-0.606060606060606,-0.130601697944119
"96",-0.484848484848484,-0.0455911201299697
"97",-0.363636363636363,-0.00638176988913038
"98",-0.242424242424242,-0.000743690140901873
"99",-0.121212121212121,-0.000191565729792843
"100",0,-8.53642921684455e-05
