"","log.r","log.Cr"
"1",-12,-25.084410480104
"2",-11.8787878787879,-25.0530048357244
"3",-11.7575757575758,-25.0248265667292
"4",-11.6363636363636,-24.9997957439671
"5",-11.5151515151515,-24.9582277591102
"6",-11.3939393939394,-24.9146536962759
"7",-11.2727272727273,-24.8596455832169
"8",-11.1515151515152,-24.7951174469532
"9",-11.030303030303,-24.7322642612275
"10",-10.9090909090909,-24.6595490498716
"11",-10.7878787878788,-24.565689203824
"12",-10.6666666666667,-24.4044265367506
"13",-10.5454545454545,-23.5220261629435
"14",-10.4242424242424,-23.4244392167972
"15",-10.3030303030303,-23.2688680024552
"16",-10.1818181818182,-23.1505036921302
"17",-10.0606060606061,-23.0240083120167
"18",-9.93939393939394,-22.8727887251383
"19",-9.81818181818182,-22.272727933143
"20",-9.6969696969697,-22.1324350008069
"21",-9.57575757575758,-21.9294061608126
"22",-9.45454545454546,-21.5300015062035
"23",-9.33333333333333,-21.331835460395
"24",-9.21212121212121,-21.0725646188639
"25",-9.09090909090909,-20.805711284486
"26",-8.96969696969697,-20.4730095893093
"27",-8.84848484848485,-20.1913981319603
"28",-8.72727272727273,-19.8824608660318
"29",-8.60606060606061,-19.5870853894549
"30",-8.48484848484848,-19.2689983153109
"31",-8.36363636363636,-18.9405918914242
"32",-8.24242424242424,-18.6183651768408
"33",-8.12121212121212,-18.2850902905156
"34",-8,-17.9445607576273
"35",-7.87878787878788,-17.6002968949389
"36",-7.75757575757576,-17.2596936550421
"37",-7.63636363636364,-16.9019007313079
"38",-7.51515151515151,-16.560680904948
"39",-7.39393939393939,-16.2159454859396
"40",-7.27272727272727,-15.8720402116686
"41",-7.15151515151515,-15.5228578307977
"42",-7.03030303030303,-15.1727486085576
"43",-6.90909090909091,-14.8271470148362
"44",-6.78787878787879,-14.4821001784771
"45",-6.66666666666667,-14.1432135322954
"46",-6.54545454545454,-13.7936824024426
"47",-6.42424242424242,-13.4506493041887
"48",-6.3030303030303,-13.1022656269037
"49",-6.18181818181818,-12.7585048903619
"50",-6.06060606060606,-12.4116552821065
"51",-5.93939393939394,-12.064041238391
"52",-5.81818181818182,-11.7196782997589
"53",-5.6969696969697,-11.3753247293341
"54",-5.57575757575758,-11.0333180550574
"55",-5.45454545454545,-10.6933919086669
"56",-5.33333333333333,-10.353345840556
"57",-5.21212121212121,-10.0155683458774
"58",-5.09090909090909,-9.67787102866828
"59",-4.96969696969697,-9.3443920120212
"60",-4.84848484848485,-9.01278158392941
"61",-4.72727272727273,-8.67970862670868
"62",-4.60606060606061,-8.34880347441154
"63",-4.48484848484848,-8.02190918798564
"64",-4.36363636363636,-7.70152678592842
"65",-4.24242424242424,-7.38366851624751
"66",-4.12121212121212,-7.06622140371863
"67",-4,-6.75274076438406
"68",-3.87878787878788,-6.43920746427724
"69",-3.75757575757576,-6.12627958346207
"70",-3.63636363636364,-5.81033202681351
"71",-3.51515151515152,-5.50007742995916
"72",-3.39393939393939,-5.1845355235107
"73",-3.27272727272727,-4.85582694424401
"74",-3.15151515151515,-4.51571596958582
"75",-3.03030303030303,-4.17388996463623
"76",-2.90909090909091,-3.83633837214032
"77",-2.78787878787879,-3.49666447474644
"78",-2.66666666666667,-3.16565388035241
"79",-2.54545454545454,-2.85215512699639
"80",-2.42424242424242,-2.54080308125318
"81",-2.3030303030303,-2.24884528521151
"82",-2.18181818181818,-1.97653769236244
"83",-2.06060606060606,-1.73331123579329
"84",-1.93939393939394,-1.48139192452662
"85",-1.81818181818182,-1.24345937491628
"86",-1.6969696969697,-1.05782963214105
"87",-1.57575757575758,-0.882162542024653
"88",-1.45454545454546,-0.73049058698544
"89",-1.33333333333333,-0.599000137114828
"90",-1.21212121212121,-0.480905018322015
"91",-1.09090909090909,-0.376889065139351
"92",-0.969696969696969,-0.288066875789153
"93",-0.848484848484848,-0.205678595427956
"94",-0.727272727272727,-0.129654995233218
"95",-0.606060606060606,-0.0672078190643993
"96",-0.484848484848484,-0.0223285714358026
"97",-0.363636363636363,-0.00306556265730955
"98",-0.242424242424242,-0.000412284688292126
"99",-0.121212121212121,-0.000133649472705414
"100",0,-8.53642921684455e-05
