"","log.r","log.Cr"
"1",-12,-111.037871247289
"2",-11.8787878787879,-111.037871218535
"3",-11.7575757575758,-111.037870977901
"4",-11.6363636363636,-111.037870902865
"5",-11.5151515151515,-111.037869317284
"6",-11.3939393939394,-111.037791362244
"7",-11.2727272727273,-111.03778849857
"8",-11.1515151515152,-111.037742046238
"9",-11.030303030303,-111.037738390683
"10",-10.9090909090909,-111.037725825524
"11",-10.7878787878788,-111.037717572351
"12",-10.6666666666667,-111.003827683882
"13",-10.5454545454545,-102.594519565385
"14",-10.4242424242424,-102.594519517862
"15",-10.3030303030303,-102.594504515903
"16",-10.1818181818182,-102.594290647836
"17",-10.0606060606061,-102.593994710011
"18",-9.93939393939394,-102.593726866751
"19",-9.81818181818182,-99.122431686991
"20",-9.6969696969697,-99.1184641676219
"21",-9.57575757575758,-99.1122183650986
"22",-9.45454545454546,-97.9536640861618
"23",-9.33333333333333,-97.9064855531882
"24",-9.21212121212121,-97.7853580835413
"25",-9.09090909090909,-96.9749569675022
"26",-8.96969696969697,-95.250259761391
"27",-8.84848484848485,-95.1410559187104
"28",-8.72727272727273,-94.273243449899
"29",-8.60606060606061,-93.6231349880986
"30",-8.48484848484848,-92.5878161644928
"31",-8.36363636363636,-91.6259051020513
"32",-8.24242424242424,-90.1575063944858
"33",-8.12121212121212,-88.6759237925808
"34",-8,-87.3015998631074
"35",-7.87878787878788,-85.6841352906693
"36",-7.75757575757576,-84.3911412850077
"37",-7.63636363636364,-82.8475527795263
"38",-7.51515151515151,-81.2203737606472
"39",-7.39393939393939,-79.5799768925086
"40",-7.27272727272727,-77.9754439237401
"41",-7.15151515151515,-76.2038008406682
"42",-7.03030303030303,-74.4545813353057
"43",-6.90909090909091,-72.6269404278811
"44",-6.78787878787879,-70.838018989309
"45",-6.66666666666667,-69.1139138331765
"46",-6.54545454545454,-67.3036116351889
"47",-6.42424242424242,-65.5272630042106
"48",-6.3030303030303,-63.6898904512169
"49",-6.18181818181818,-61.9043959751482
"50",-6.06060606060606,-60.0967403079781
"51",-5.93939393939394,-58.2746895909705
"52",-5.81818181818182,-56.5527707216229
"53",-5.6969696969697,-54.8775556668712
"54",-5.57575757575758,-53.2191308217691
"55",-5.45454545454545,-51.4844961194731
"56",-5.33333333333333,-49.6284148199773
"57",-5.21212121212121,-47.7508485024318
"58",-5.09090909090909,-45.8925313654998
"59",-4.96969696969697,-44.1049327334886
"60",-4.84848484848485,-42.3508994141764
"61",-4.72727272727273,-40.5771063718559
"62",-4.60606060606061,-38.8043257467248
"63",-4.48484848484848,-37.1088550161686
"64",-4.36363636363636,-35.5182547968853
"65",-4.24242424242424,-33.9984726999453
"66",-4.12121212121212,-32.5472402563985
"67",-4,-31.1899583571705
"68",-3.87878787878788,-29.8365870487423
"69",-3.75757575757576,-28.3881779934474
"70",-3.63636363636364,-26.8407204959176
"71",-3.51515151515152,-25.3569042555749
"72",-3.39393939393939,-23.9061569010432
"73",-3.27272727272727,-22.3856552948729
"74",-3.15151515151515,-20.7464477961372
"75",-3.03030303030303,-19.0207446312262
"76",-2.90909090909091,-17.3233080669258
"77",-2.78787878787879,-15.7152173430387
"78",-2.66666666666667,-14.2057713873921
"79",-2.54545454545454,-12.6369846910397
"80",-2.42424242424242,-11.0469982838446
"81",-2.3030303030303,-9.67066265653989
"82",-2.18181818181818,-8.34960918718987
"83",-2.06060606060606,-7.18801312976423
"84",-1.93939393939394,-5.99986735524207
"85",-1.81818181818182,-4.90133915366407
"86",-1.6969696969697,-4.10694329682689
"87",-1.57575757575758,-3.45471673131933
"88",-1.45454545454546,-2.83459975840738
"89",-1.33333333333333,-2.31248662780604
"90",-1.21212121212121,-1.84535226715983
"91",-1.09090909090909,-1.40016057753147
"92",-0.969696969696969,-1.04143009920961
"93",-0.848484848484848,-0.721563021867831
"94",-0.727272727272727,-0.442623765134496
"95",-0.606060606060606,-0.233061799854485
"96",-0.484848484848484,-0.0852831565975831
"97",-0.363636363636363,-0.0127222085158446
"98",-0.242424242424242,-0.00136048786299264
"99",-0.121212121212121,-0.00030356828277648
"100",0,-8.53642921684455e-05
