"","log.r","log.Cr"
"1",-12,-65.2276101379357
"2",-11.8787878787879,-65.227555775587
"3",-11.7575757575758,-65.227423500828
"4",-11.6363636363636,-65.2273467349887
"5",-11.5151515151515,-65.2270210423604
"6",-11.3939393939394,-65.2241936605318
"7",-11.2727272727273,-65.2236013783435
"8",-11.1515151515152,-65.2215469140723
"9",-11.030303030303,-65.2207099798387
"10",-10.9090909090909,-65.2192061021321
"11",-10.7878787878788,-65.2178491122699
"12",-10.6666666666667,-65.1130332354651
"13",-10.5454545454545,-60.6572953521944
"14",-10.4242424242424,-60.6571590755365
"15",-10.3030303030303,-60.6554439370574
"16",-10.1818181818182,-60.6491626180155
"17",-10.0606060606061,-60.6432536228761
"18",-9.93939393939394,-60.633582591038
"19",-9.81818181818182,-58.2777959159173
"20",-9.6969696969697,-58.2636718550998
"21",-9.57575757575758,-58.2489653006226
"22",-9.45454545454546,-57.3365017505844
"23",-9.33333333333333,-57.2685495870865
"24",-9.21212121212121,-57.1297396855541
"25",-9.09090909090909,-56.6515857718393
"26",-8.96969696969697,-55.7399195091589
"27",-8.84848484848485,-55.6103092659935
"28",-8.72727272727273,-55.0174286923907
"29",-8.60606060606061,-54.5538006410828
"30",-8.48484848484848,-53.8716379920143
"31",-8.36363636363636,-53.2122002331553
"32",-8.24242424242424,-52.4139887993239
"33",-8.12121212121212,-51.5641364827222
"34",-8,-50.6910864252098
"35",-7.87878787878788,-49.7502840289424
"36",-7.75757575757576,-48.8612724199637
"37",-7.63636363636364,-47.8704315658574
"38",-7.51515151515151,-46.9071912209897
"39",-7.39393939393939,-45.9520309495642
"40",-7.27272727272727,-44.9978591247393
"41",-7.15151515151515,-43.9965884440572
"42",-7.03030303030303,-42.9998537268443
"43",-6.90909090909091,-41.9869544374942
"44",-6.78787878787879,-40.9727087582939
"45",-6.66666666666667,-39.9814677311124
"46",-6.54545454545454,-38.9486780412301
"47",-6.42424242424242,-37.936932164122
"48",-6.3030303030303,-36.9014578801301
"49",-6.18181818181818,-35.8904595020546
"50",-6.06060606060606,-34.8734509359948
"51",-5.93939393939394,-33.854275893127
"52",-5.81818181818182,-32.8620679123757
"53",-5.6969696969697,-31.8726873586042
"54",-5.57575757575758,-30.8868109595889
"55",-5.45454545454545,-29.8846299653664
"56",-5.33333333333333,-28.8535122783827
"57",-5.21212121212121,-27.8187627868278
"58",-5.09090909090909,-26.786739987141
"59",-4.96969696969697,-25.7751297490845
"60",-4.84848484848485,-24.7720630770503
"61",-4.72727272727273,-23.7623925519628
"62",-4.60606060606061,-22.7650453599204
"63",-4.48484848484848,-21.8087625325355
"64",-4.36363636363636,-20.9024591304063
"65",-4.24242424242424,-20.0264408617913
"66",-4.12121212121212,-19.1697964593465
"67",-4,-18.341062601882
"68",-3.87878787878788,-17.5117168299223
"69",-3.75757575757576,-16.6626416714184
"70",-3.63636363636364,-15.7784889269241
"71",-3.51515151515152,-14.9079988786214
"72",-3.39393939393939,-14.0288568276794
"73",-3.27272727272727,-13.1166010397316
"74",-3.15151515151515,-12.1566527475136
"75",-3.03030303030303,-11.1723840755473
"76",-2.90909090909091,-10.2039583752879
"77",-2.78787878787879,-9.27000775839887
"78",-2.66666666666667,-8.3761444443263
"79",-2.54545454545454,-7.48539226306337
"80",-2.42424242424242,-6.59018694545981
"81",-2.3030303030303,-5.78152172216124
"82",-2.18181818181818,-5.01927250815937
"83",-2.06060606060606,-4.34794940476989
"84",-1.93939393939394,-3.66545978423307
"85",-1.81818181818182,-3.03542711023072
"86",-1.6969696969697,-2.56543217883747
"87",-1.57575757575758,-2.14576393333137
"88",-1.45454545454546,-1.77044384677636
"89",-1.33333333333333,-1.44802229109766
"90",-1.21212121212121,-1.15824233897422
"91",-1.09090909090909,-0.894346886006807
"92",-0.969696969696969,-0.674579194257709
"93",-0.848484848484848,-0.473408943270802
"94",-0.727272727272727,-0.295326394044684
"95",-0.606060606060606,-0.156910351628072
"96",-0.484848484848484,-0.0555944223670876
"97",-0.363636363636363,-0.00789730794843017
"98",-0.242424242424242,-0.000889674414056115
"99",-0.121212121212121,-0.000218322239625017
"100",0,-8.53642921684455e-05
