"","log.r","log.Cr"
"1",-12,-45.4706916818541
"2",-11.8787878787879,-45.469183476074
"3",-11.7575757575758,-45.4671256284751
"4",-11.6363636363636,-45.4655409457852
"5",-11.5151515151515,-45.4618822423679
"6",-11.3939393939394,-45.4500606659411
"7",-11.2727272727273,-45.4437543715776
"8",-11.1515151515152,-45.4319035237119
"9",-11.030303030303,-45.4230870528693
"10",-10.9090909090909,-45.4101302374554
"11",-10.7878787878788,-45.3955620152018
"12",-10.6666666666667,-45.2451712456491
"13",-10.5454545454545,-42.4330120666015
"14",-10.4242424242424,-42.4286989173058
"15",-10.3030303030303,-42.4120259625259
"16",-10.1818181818182,-42.3844576896241
"17",-10.0606060606061,-42.3564148096565
"18",-9.93939393939394,-42.3140551443722
"19",-9.81818181818182,-40.6596526029821
"20",-9.6969696969697,-40.6263380200474
"21",-9.57575757575758,-40.5745454319552
"22",-9.45454545454546,-39.8188654430774
"23",-9.33333333333333,-39.718189781917
"24",-9.21212121212121,-39.533325387078
"25",-9.09090909090909,-39.1645334214944
"26",-8.96969696969697,-38.5495315008407
"27",-8.84848484848485,-38.3365084001768
"28",-8.72727272727273,-37.853405846478
"29",-8.60606060606061,-37.4481950796158
"30",-8.48484848484848,-36.9112465317946
"31",-8.36363636363636,-36.3776004645493
"32",-8.24242424242424,-35.8041475879147
"33",-8.12121212121212,-35.2006030618975
"34",-8,-34.5729419715717
"35",-7.87878787878788,-33.9223596420347
"36",-7.75757575757576,-33.2833953809865
"37",-7.63636363636364,-32.5930260572119
"38",-7.51515151515151,-31.9330278497666
"39",-7.39393939393939,-31.2765756113001
"40",-7.27272727272727,-30.6183773133656
"41",-7.15151515151515,-29.9390427949966
"42",-7.03030303030303,-29.2616695405889
"43",-6.90909090909091,-28.5856807617898
"44",-6.78787878787879,-27.9070038285084
"45",-6.66666666666667,-27.240769884392
"46",-6.54545454545454,-26.5489432247407
"47",-6.42424242424242,-25.8706653279413
"48",-6.3030303030303,-25.178689321858
"49",-6.18181818181818,-24.4995404043228
"50",-6.06060606060606,-23.8161760016012
"51",-5.93939393939394,-23.1317987818967
"52",-5.81818181818182,-22.4583179904421
"53",-5.6969696969697,-21.7843013787168
"54",-5.57575757575758,-21.1139681933791
"55",-5.45454545454545,-20.4411009465027
"56",-5.33333333333333,-19.7601979688198
"57",-5.21212121212121,-19.0807214030853
"58",-5.09090909090909,-18.4013360406657
"59",-4.96969696969697,-17.7308860126012
"60",-4.84848484848485,-17.0637186639165
"61",-4.72727272727273,-16.3928553908194
"62",-4.60606060606061,-15.7295138676692
"63",-4.48484848484848,-15.0867078180666
"64",-4.36363636363636,-14.4686657920615
"65",-4.24242424242424,-13.8643985264214
"66",-4.12121212121212,-13.2669392361645
"67",-4,-12.6824330323203
"68",-3.87878787878788,-12.0989787064147
"69",-3.75757575757576,-11.5108017828632
"70",-3.63636363636364,-10.9049247610109
"71",-3.51515151515152,-10.3051389855363
"72",-3.39393939393939,-9.69490345404124
"73",-3.27272727272727,-9.06289172937005
"74",-3.15151515151515,-8.40565928047044
"75",-3.03030303030303,-7.73951594537182
"76",-2.90909090909091,-7.08375995756582
"77",-2.78787878787879,-6.44198905550711
"78",-2.66666666666667,-5.82139106069688
"79",-2.54545454545454,-5.21625548218985
"80",-2.42424242424242,-4.61159547248762
"81",-2.3030303030303,-4.05643176658822
"82",-2.18181818181818,-3.53796093294766
"83",-2.06060606060606,-3.08025820098576
"84",-1.93939393939394,-2.6127920256632
"85",-1.81818181818182,-2.17795745154392
"86",-1.6969696969697,-1.84661334788025
"87",-1.57575757575758,-1.54093551910485
"88",-1.45454545454546,-1.27314269573
"89",-1.33333333333333,-1.04194157367559
"90",-1.21212121212121,-0.834500694528095
"91",-1.09090909090909,-0.648801374232538
"92",-0.969696969696969,-0.492364285821897
"93",-0.848484848484848,-0.348441888102198
"94",-0.727272727272727,-0.21942536811969
"95",-0.606060606060606,-0.11634007209422
"96",-0.484848484848484,-0.0402375434942783
"97",-0.363636363636363,-0.00559317733569271
"98",-0.242424242424242,-0.000667013081969477
"99",-0.121212121212121,-0.000177678923076449
"100",0,-8.53642921684455e-05
